SrcTp,Status,CP,AsClass,StDate,TrxDate,BAmount (€),OrAmount,TAmount,Fee,AsBsCcy,IntTp,D/C,Desc,Origin
Securities,paired,,equity,,2024-07-17,11373.41,12550.56,12533.00,-17.56,USD,EQ_SELL,N,"description: CROWDSTRIKE HOLDINGS INC - A | reference: 932494823,932494830 | ticker: CRWD | quantity: -35.000000 | price: 358.882500000000",auto
Securities,paired,,equity,,2024-06-18,-6691.79,-7257.25,-7267.40,-10.15,USD,EQ_BUY,N,"description: NEWMONT MNG CORP | reference: 913288848,913288851,913288852 | ticker: NEM | quantity: 175.000000 | price: 41.470000000000",auto
Securities,paired,,equity,,2024-07-24,8478.71,9397.80,9384.64,-13.16,USD,EQ_SELL,N,description: Meta Platforms Inc | reference: 936528224 | ticker: META | quantity: -20.000000 | price: 469.890000000000,auto
Securities,enriched,,bond,,2024-07-30,-20693.33,-20693.33,-20740.72,-47.39,EUR,BOND_BUY,N,description: Bigbank 8% allutatud võlakiri 8% 16.02.2033 | reference: 939551068 | ticker: BIGB080033A | quantity: 20.000000 | price: 1034.666500000000,auto
Securities,paired,,bond,,2024-07-17,-1872.42,-1872.42,-1882.16,-9.74,EUR,BOND_BUY,N,description: Inbank 5.5% allutatud võlakiri 15.12.2031 | reference: 932408645 | ticker: INBB055031A | quantity: 2.000000 | price: 936.210000000000,auto
Securities,paired,,bond,,2024-06-05,-2123.70,-2123.70,-2133.94,-10.24,EUR,BOND_BUY,N,"description: Holm Bank 9.50% võlakiri 30.05.2034 | reference: 903745878,903708400 | ticker: HLMBK095034FA | quantity: 2.000000 | price: 1061.847220000000",auto
Securities,paired,,bond,,2024-07-16,-20635.56,-20635.56,-20682.83,-47.27,EUR,BOND_BUY,N,description: Bigbank 8% allutatud võlakiri 8% 16.02.2033 | reference: 931700374 | ticker: BIGB080033A | quantity: 20.000000 | price: 1031.778000000000,auto
Securities,paired,,equity,,2024-07-26,-3709.95,-4122.50,-4132.27,-9.77,USD,EQ_BUY,N,"description: Fluence Energy Inc | reference: 937700032,937700033 | ticker: FLNC | quantity: 250.000000 | price: 16.490000000000",auto
Securities,paired,,equity,,2024-06-26,-13017.97,-14200.00,-14219.88,-19.88,USD,EQ_BUY,N,description: MICRON TECHNOLOGY INC | reference: 917962047 | ticker: MU | quantity: 100.000000 | price: 142.000000000000,auto
Securities,paired,,equity,,2024-07-10,-10282.55,-11318.00,-11333.85,-15.85,USD,EQ_BUY,N,description: Illumina Inc | reference: 928011626 | ticker: ILMN | quantity: 100.000000 | price: 113.180000000000,auto
Securities,paired,,equity,,2024-06-05,-3162.41,-3429.00,-3438.78,-9.78,USD,EQ_BUY,N,"description: Fluence Energy Inc | reference: 904061446,904061450 | ticker: FLNC | quantity: 150.000000 | price: 22.860000000000",auto
Securities,paired,,equity,,2024-06-05,-8050.00,-8050.00,-8050.00,0.00,EUR,EQ_BUY,N,"description: LHV Group | reference: 903867200,903867343,903869459,903872803,903874667,903897704 | ticker: LHV1T | quantity: 2300.000000 | price: 3.500000000000",auto
Securities,paired,,equity,,2024-07-17,2274.58,2510.00,2500.16,-9.84,USD,EQ_SELL,N,"description: Hyliion Holdings Corporation | reference: 932677233,932677234,932677237,932677238,932677240 | ticker: HYLN | quantity: -1000.000000 | price: 2.510000000000",auto
Securities,enriched,,equity,,2024-06-10,0,0.00,0.00,0.00,USD,SPLIT_OUT,N,description: NVIDIA Corporation | reference: 907202454 | ticker: NVDA | quantity: -20.000000 | price: 780.000000000000,auto
Securities,enriched,,equity,,2024-07-31,-11075.18,-12330.00,-12347.26,-17.26,USD,EQ_BUY,N,description: Microsoft Corporation | reference: 940322942 | ticker: MSFT | quantity: 30.000000 | price: 411.000000000000,auto
Securities,paired,,equity,,2024-07-24,19329.7,21425.04,21395.04,-30.00,USD,EQ_SELL,N,description: Adobe Systems Inc | reference: 936535478 | ticker: ADBE | quantity: -40.000000 | price: 535.626000000000,auto
Securities,enriched,,equity,,2024-07-31,-12575.23,-14000.00,-14019.60,-19.60,USD,EQ_BUY,N,description: SuperMicro Computer Inc. | reference: 940524330 | ticker: SMCI | quantity: 20.000000 | price: 700.000000000000,auto
Securities,paired,,equity,,2024-07-24,10103.67,11198.91,11183.24,-15.67,USD,EQ_SELL,N,"description: MICRON TECHNOLOGY INC | reference: 936551841,936551847,936551849,936551852,936551853,936551858,936551859,936551867,936551870 | ticker: MU | quantity: -100.000000 | price: 111.987777777778",auto
Securities,paired,,equity,,2024-06-24,11237.5,12250.00,12232.85,-17.15,USD,EQ_SELL,N,description: NVIDIA Corporation | reference: 916672966 | ticker: NVDA | quantity: -100.000000 | price: 122.500000000000,auto
Securities,enriched,,equity,,2024-06-10,0,0.00,0.00,0.00,USD,SPLIT_IN,N,description: NVIDIA Corporation | reference: 907202454 | ticker: NVDA | quantity: 200.000000 | price: 78.000000000000,auto
Securities,paired,,equity,,2024-07-29,-8257.23,-9169.65,-9182.49,-12.84,USD,EQ_BUY,N,description: CROWDSTRIKE HOLDINGS INC - A | reference: 939148233 | ticker: CRWD | quantity: 35.000000 | price: 261.990000000000,auto
Securities,paired,,equity,,2024-06-17,-9382.49,-10167.80,-10182.03,-14.23,USD,EQ_BUY,N,description: Adobe Systems Inc | reference: 912472204 | ticker: ADBE | quantity: 20.000000 | price: 508.390000000000,auto
